p0,p1,p2,p3,p4,p5,objective,lookahead,model_name,acquisition_function
1,0,1,3,6,4,-0.001386,-1,Initial_Sample,Random_Sampling
0,0,0,10,0,10,-0.001225,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
0,0,0,10,0,10,-0.001225,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
1,0,0,0,0,10,-0.002079,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
1,1,0,10,0,10,-0.0015665,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
0,0,0,0,1,1,-0.0015475,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),pi
0,1,0,10,0,10,-0.0012545,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",pi
1,0,0,9,1,8,-0.0020815,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),pi
1,1,0,10,0,10,-0.0015665,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",pi
0,1,0,10,0,10,-0.0012545,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,1,0,10,0,10,-0.0012545,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,0,0,10,9,3,-0.0021155,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ucb
1,1,1,10,0,10,-0.000668,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,0,0,9,9,10,-0.001213,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,1,8,5,10,-0.0013435,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,0,1,5,8,10,-0.0011225,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,0,0,10,10,-0.0011655,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,1,10,10,0,-0.002215,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,0,1,1,0,6,-0.001174,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,0,0,10,9,1,-0.001722,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,0,1,2,10,7,-0.001142,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,0,1,3,10,2,-0.0013655,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,0,1,6,0,1,-0.0016775,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,0,8,4,0,-0.0012595,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,0,10,10,0,-0.0010904999999999,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,0,1,10,0,10,-0.0012665,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,0,0,0,8,0,-0.0012135,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,0,1,1,6,8,-0.001483,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,1,10,0,3,-0.0014105,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,1,0,9,3,-0.0011975,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
