p0,p1,p2,p3,p4,p5,objective,lookahead,model_name,acquisition_function
1,0,1,3,6,4,-4.98947,-1,Initial_Sample,Random_Sampling
0,1,0,10,0,0,-6.320093,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
0,0,0,10,0,10,-5.9735985000000005,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
1,0,0,0,0,10,-10.7573575,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
1,1,0,10,0,10,-9.806822,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
0,0,0,0,1,1,-6.141154,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),pi
0,1,0,10,0,10,-5.644572999999999,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",pi
1,0,0,9,1,8,-7.83103,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),pi
1,1,0,10,0,10,-9.806822,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",pi
0,1,0,10,0,10,-5.644572999999999,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,1,0,10,0,10,-5.644572999999999,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
0,0,0,10,0,6,-5.7745265,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ucb
1,1,1,10,0,10,-1.917343,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,1,10,10,10,-4.8094540000000015,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,0,10,10,0,-5.165674,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,0,1,10,10,0,-8.755068,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,0,10,10,10,-4.6505065000000005,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,1,0,10,10,-4.9521495,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,1,10,10,10,-4.8094540000000015,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,0,1,0,10,0,-8.740634,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,1,1,0,10,0,-1.5308715,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,0,1,3,6,4,-4.98947,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,0,1,10,10,0,-8.755068,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,1,0,0,10,0,-6.320005,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,1,0,0,0,10,-10.1481915,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,1,1,10,10,10,-1.607163,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,0,1,10,10,10,-4.808025499999999,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,1,0,10,10,10,-5.4566485,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,1,1,10,9,10,-1.5847695000000002,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
1,1,1,10,10,9,-1.7370305,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
