p0,p1,p2,p3,p4,p5,objective,rank
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,100,0.001267,4378
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,2048,32,0.00179,8644
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,50,50,0.0018625,8899
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,100,0.0012355,3581
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,32,0.001386,6586
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,8,32,0.001169,1992
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,16,0.001245,3835
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,20,20,0.001269,4433
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,16,0.001241,3737
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,80,0.001924,9097
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,8,100,0.0020039999999999,9364
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,2048,8,0.0023925,10209
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,32,20,0.001379,6509
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,20,50,0.001975,9287
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,80,50,0.001197,2583
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,32,0.001409,6810
 , , ,96,32,20,0.0012685,4418
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,4,4,0.0037359999999999,10607
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,32,0.0012865,4864
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,2048,80,0.001537,7723
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,20,20,0.0020889999999999,9591
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,16,50,0.002177,9821
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,16,0.001295,5068
 , , ,64,100,20,0.0011845,2319
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,0.0018425,8826
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,8,16,0.0012605,4231
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4,0.0018685,8923
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,50,32,0.00246,10277
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,20,16,0.001205,2804
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,100,128,0.001425,6945
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,64,0.000535,71
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,4,0.002314,10090
