p0,p1,p2,p3,p4,p5,objective,rank
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,100,5.2625525,4260
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,2048,32,13.2174745,10437
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,50,50,5.84144,6150
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,100,5.8476485,6183
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,32,4.906351,2917
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,8,32,5.7982825,6012
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,16,8.202663000000001,8576
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,20,20,7.55125,8112
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,16,4.195899,1063
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,80,11.594905,10163
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,8,100,11.2645455,10105
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,2048,8,15.8243055,10576
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,32,20,4.5450675,1571
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,20,50,9.4981895,9729
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,80,50,4.7691695,2332
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,32,4.588043,1696
 , , ,96,32,20,4.95215,3107
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,4,4,14.4267875,10514
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,32,6.3818555,7128
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,2048,80,9.395764,9669
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,20,20,7.422905,8036
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,16,50,7.014725,7716
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,16,5.182051,3985
 , , ,64,100,20,4.556853,1602
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,10.916193,10043
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,8,16,4.426925499999999,1294
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4,7.6969875,8194
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,50,32,8.175934,8563
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,20,16,4.618129,1785
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,100,128,4.7234235,2154
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,80,20,4.844806999999999,2636
 , , ,64,128,64,5.7219995,5764
