p0,p1,p2,p3,p4,p5,objective,rank
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,4,11.788279,10198
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,2048,64,6.258625,6961
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,50,32,7.5778485,8125
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,64,8,6.236145499999999,6928
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,8,8.711090500000001,9122
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,8,6.7155935,7442
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,64,20,4.866322,2735
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,8,6.4811324999999975,7219
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,4,6.4481595,7192
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,8,16,7.402803499999999,8013
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,32,5.212443,4084
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,100,8.896335,9303
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,64,20,6.706175999999999,7431
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,64,20,4.878305999999999,2791
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,16,20,4.9723395,3179
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,64,20,4.878305999999999,2791
 , , ,80,32,80,5.8225295,6094
 , , ,32,16,16,4.748751,2245
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,32,128,4.6937225,2043
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,8,64,9.2959615,9615
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,100,64,1.8023005,244
 , , ,128,2048,20,4.549416000000001,1584
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,100,32,5.371131,4603
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,16,5.2907325,4357
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,16,16,6.031736,6601
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,20,6.2735085,6984
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,32,80,8.6173435,8996
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,64,5.5922389999999975,5335
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,64,80,5.130776999999998,3813
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,5.731311,5793
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,80,20,7.763344999999997,8253
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,64,4.989946,3255
