p0,p1,p2,p3,p4,p5,scale,objective
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,4,4,2000,10.487567
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,2000,2.409534
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,4,32,2000,4.621494500000002
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,2048,16,2000,7.959837999999999
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,80,2000,5.675822999999999
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,20,128,2000,7.8553765
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,100,4,2000,11.27912
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,20,2000,4.940565
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,100,2000,7.0062415
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,64,50,2000,6.0745735
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,16,2000,4.7074785000000015
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,4,64,2000,4.918141
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,80,16,2000,9.1474255
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,32,80,2000,5.725441
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,64,256,2000,4.8281355
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,64,4,2000,11.841817
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,50,100,2000,1.687963
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,2048,4,2000,37.29373
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,20,2000,5.0752635
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,50,32,2000,7.661888999999999
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,4,50,2000,4.5779375
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,64,50,2000,5.6651165
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,2048,256,2000,12.5597115
 , , ,16,64,100,2000,5.943760500000001
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,80,2000,2.7709225
 , , ,128,128,50,2000,5.9393905
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,50,50,2000,4.763712
 , , ,80,80,64,2000,5.6368515000000015
 , , ,96,20,4,2000,7.022174000000001
 , , ,50,128,256,2000,8.700156
