p0,p1,p2,p3,p4,p5,objective,elapsed_sec,scale
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,0.582743,10.188323974609377,1000
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,100,0.5867495,18.90135765075684,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,32,32,0.56193,29.329319953918457,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,256,0.4804319999999999,38.83800458908081,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,80,0.208589,51.80806517601013,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,8,80,0.521633,62.19134330749512,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,8,0.4803595,72.35810041427612,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,64,128,0.857533,84.31454515457153,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,100,8,0.7429175,95.41990685462952,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,16,20,0.5303325,104.33565998077393,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,100,0.52651,113.87328791618349,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,16,0.943197,124.17760920524596,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,128,0.9371685,134.80453824996948,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,256,0.488481,143.97963619232178,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,8,16,0.7351125000000001,159.54816603660583,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,32,0.2608795,176.94108176231384,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,100,20,0.514927,187.4970569610596,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,32,0.489284,197.1151487827301,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,20,0.8298435,209.8484992980957,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,4,0.7989295,220.0835883617401,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,32,0.475684,228.37564969062805,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,32,0.4549105,238.5091500282288,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,16,4,1.2844605,250.83427143096924,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,20,256,0.5153435,261.0309467315674,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,16,100,0.5320860000000001,269.98867177963257,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,64,128,0.5471159999999999,278.7088041305542,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,50,4,1.2922829999999998,290.84181451797485,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,8,20,0.4523895,302.6962881088257,1000
 , , ,20,50,128,0.610419,311.7366328239441,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,8,0.93074,323.29760909080505,1000
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,20,0.4520115,331.38561606407166,1000
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,20,0.56288,339.63399362564087,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.456686,349.2477536201477,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,8,8,0.9918215,365.9953980445862,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,50,0.4762515,377.5315272808075,1000
 , , ,80,8,8,0.4996104999999999,388.2405114173889,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,16,0.4850585,397.1018722057343,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,64,0.169132,406.3763475418091,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,100,0.507406,415.13005900383,1000
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,32,0.4712415,423.61100459098816,1000
 , , ,16,32,100,0.68915,432.6118261814117,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,20,0.474213,443.9832649230957,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,16,64,0.7841225000000001,455.17014932632446,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,50,256,0.510148,464.901654958725,1000
 , , ,128,8,16,0.446881,474.6395754814148,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,4,256,0.475103,484.868864774704,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.4891054999999999,495.2522032260895,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,20,0.5044744999999999,504.04723834991455,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,20,0.9647245,514.8736293315887,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,32,128,0.521009,524.3055984973907,1000
