p0,p1,p2,p3,p4,p5,objective,elapsed_sec,scale
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,0.0036275,6.981262445449829,200
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,100,0.004487,13.90848994255066,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,32,32,0.0039415,22.18866539001465,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,256,0.007574,28.880581378936768,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,80,0.001607,41.0725257396698,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,8,80,0.0039905,49.64451479911804,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,8,0.003458,58.2971248626709,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,64,128,0.0063219999999999,65.95262598991394,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,100,8,0.0068909999999999,75.21670079231262,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,16,20,0.0039415,82.67300271987915,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,100,0.004047,90.76026797294617,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,16,0.008189,98.19864511489868,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,128,0.0065785,106.11280012130736,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,256,0.0040339999999999,113.02578806877136,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,8,16,0.00565,126.98843455314636,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,32,0.0019725,137.37571716308594,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,100,20,0.0038915,144.48911571502686,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,32,0.0037435,152.34796023368835,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,20,0.006432,162.85251545906067,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,4,0.005972,169.83948707580566,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,32,0.004066,176.5203607082367,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,32,0.003743,185.0085091590881,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,16,4,0.009585,193.48761439323425,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,20,256,0.0049745,200.1268417835236,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,16,100,0.0042495,206.8468337059021,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,64,128,0.0039795,214.2643041610717,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,50,4,0.012443,223.2192270755768,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,8,20,0.003508,231.8606767654419,200
 , , ,20,50,128,0.004331,239.44291877746585,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,8,0.0076605,246.89149355888367,200
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,20,0.0037875,254.25629711151123,200
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,20,0.0040055,260.9255871772766,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.003683,269.56396412849426,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,8,8,0.0076315,283.5186214447021,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,50,0.0036899999999999,291.3385272026062,200
 , , ,80,8,8,0.0038545,299.3235878944397,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,16,0.004467,306.2758061885834,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,64,0.0017725,315.9981188774109,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,100,0.0043215,323.142409324646,200
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,32,0.003672,330.366938829422,200
 , , ,16,32,100,0.0045315,336.86893105506897,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,20,0.0036769999999999,344.8773579597473,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,16,64,0.006735,352.75588035583496,200
