p0,p1,p2,p3,p4,p5,objective,elapsed_sec,scale
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,0.00013,7.709717035293579,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,100,0.0001189999999999,14.015360116958618,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,32,32,0.000194,22.833515405654907,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,256,0.0001585,31.2725510597229,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,80,0.000125,38.82593607902527,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,8,80,0.0001485,47.15654802322388,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,8,0.000188,54.22911429405213,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,64,128,0.0001605,60.37932538986206,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,100,8,0.0003505,67.483145236969,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,16,20,0.0003725,74.4970645904541,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,100,0.0001415,81.35147356987,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,16,0.000245,89.36635327339172,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,128,0.0001625,96.39815425872804,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,256,0.0001435,103.00169348716736,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,8,16,0.0001695,111.18156337738036,60
